
1,1,1

1,1,1

1,1,1

1,1,1

1,1,1

1,1,1

1,1,1

1,1,1

1,1,1

1,1,1

1,2,1

1,2,1

1,2,1

1,2,3

1,2,2

1,2,2

1,2,3

1,2,1

1,2,1

1,2,1

1,3,1

1,3,1

1,3,1

1,3,1

1,3,2

1,3,2

1,3,2

1,3,3

1,3,4

1,3,3

1,4,6

1,4,9

1,4,2

1,4,3

1,4,6

1,4,2

1,4,10

1,4,3

1,4,13

1,4,1

1,5,10

1,5,11

1,5,2

1,5,2

1,5,4

1,5,15

1,5,1

1,5,5

1,5,5

1,5,1

1,6,6

1,6,23

1,6,20

1,6,6

1,6,4

1,6,1

1,6,1

1,6,1

1,6,12

1,6,4

1,7,17

1,7,5

1,7,2

1,7,18

1,7,4

1,7,7

1,7,7

1,7,3

1,7,21

1,7,13

1,8,6

1,8,1

1,8,2

1,8,1

1,8,3

1,8,12

1,8,5

1,8,13

1,8,8

1,8,23

1,9,5

1,9,18

1,9,4

1,9,6

1,9,11

1,9,13

1,9,5

1,9,8

1,9,11

1,9,1

1,10,7

1,10,9

1,10,2

1,10,4

1,10,6

1,10,1

1,10,9

1,10,9

1,10,9

1,10,21

1,11,17

1,11,27

1,11,1

1,11,7

1,11,3

1,11,1

1,11,2

1,11,2

1,11,1

1,11,10

1,12,4

1,12,10

1,12,12

1,12,28

1,12,25

1,12,19

1,12,6

1,12,2

1,12,3

1,12,8

1,13,1

1,13,11

1,13,20

1,13,1

1,13,2

1,13,5

1,13,5

1,13,28

1,13,10

1,13,2

1,14,11

1,14,6

1,14,16

1,14,5

1,14,12

1,14,14

1,14,14

1,14,13

1,14,2

1,14,14

1,15,30

1,15,2

1,15,35

1,15,22

1,15,13

1,15,36

1,15,7

1,15,1

1,15,8

1,15,6

1,16,18

1,16,26

1,16,33

1,16,9

1,16,6

1,16,5

1,16,21

1,16,30

1,16,27

1,16,2

2,1,1

2,1,1

2,1,1

2,1,1

2,1,1

2,1,1

2,1,1

2,1,1

2,1,1

2,1,1

2,2,1

2,2,10

2,2,8

2,2,3

2,2,1

2,2,4

2,2,5

2,2,2

2,2,3

2,2,1

2,3,2

2,3,6

2,3,14

2,3,7

2,3,1

2,3,30

2,3,5

2,3,12

2,3,5

2,3,4

2,4,10

2,4,2

2,4,9

2,4,6

2,4,16

2,4,10

2,4,21

2,4,17

2,4,5

2,4,32

2,5,1

2,5,10

2,5,9

2,5,82

2,5,3

2,5,22

2,5,35

2,5,34

2,5,27

2,5,1

2,6,7

2,6,21

2,6,26

2,6,4

2,6,66

2,6,29

2,6,62

2,6,7

2,6,91

2,6,2

2,7,95

2,7,91

2,7,6

2,7,140

2,7,72

2,7,146

2,7,35

2,7,10

2,7,9

2,7,9

2,8,2

2,8,88

2,8,60

2,8,4

2,8,12

2,8,132

2,8,46

2,8,100

2,8,21

2,8,55

2,9,105

2,9,33

2,9,284

2,9,106

2,9,8

2,9,46

2,9,8

2,9,206

2,9,131

2,9,77

2,10,48

2,10,292

2,10,15

2,10,48

2,10,74

2,10,110

2,10,108

2,10,157

2,10,165

2,10,147

2,11,232

2,11,94

2,11,84

2,11,186

2,11,168

2,11,59

2,11,78

2,11,23

2,11,274

2,11,21

2,12,11

2,12,5

2,12,231

2,12,200

2,12,94

2,12,18

2,12,470

2,12,39

