
1,16807,6

1,16807,181

1,16807,185

1,16807,180

1,16807,100

1,16807,17

1,16807,34

1,16807,224

1,16807,325

1,16807,66

2,16807,59022

2,16807,63913

2,16807,15282

2,16807,77166

2,16807,51383

2,16807,35073

2,16807,41757

2,16807,48172

2,16807,130442

2,16807,1947

4,16807,806499960

4,16807,1073741823

4,16807,1073741823

4,16807,1073741823

4,16807,1073741823

4,16807,1073741823

4,16807,1073741823

4,16807,1073741823

4,16807,1073741823

4,16807,1073741823

8,16807,1073741823

8,16807,1073741823

8,16807,1073741823

8,16807,1073741823

8,16807,1073741823

8,16807,1073741823

8,16807,1073741823

8,16807,1073741823

8,16807,1073741823

8,16807,1073741823

16,16807,1073741823

16,16807,1073741823

16,16807,1073741823

16,16807,1073741823

16,16807,1073741823

16,16807,1073741823

16,16807,1073741823

16,16807,1073741823

16,16807,1073741823

16,16807,1073741823

32,16807,1073741823

32,16807,1073741823

32,16807,1073741823

32,16807,1073741823

32,16807,1073741823

32,16807,1073741823

32,16807,1073741823

32,16807,1073741823

32,16807,1073741823

32,16807,1073741823
